Address1,Address2,propertyID,listingID,propertyType,price,leasePrice,buildingType,neighbourhood,bathrooms,bedrooms,communityFeatures,nearbyAmenities,storeys,walkscore,transitscore,machineryIncluded,rentalEquipment,parkingType,majorBusinessType,minorBusinessType,totalUnits,landSize,zoningType,interiorFloorSpace,exteriorBuildingSize,franchise,buildingAmenities,buildingStyle,basementDevelopment,notificationUpdate,anchor,retailStorefront,clearCeilingHeight,hasphoto,photos,multimediaFeatures,listingVideoType,city,province,soldData,hasAlternateFeatureSheet,hasOpenHouse,hasVirtualOpenHouse,hasCMHCFTHBBanner,hasTDpreApprovalIcon,hasActiveVirtualOpenHouse,Property Type,Building Type,Community Name,Title,Annual Property Taxes,Parking Type,Time on REALTOR.ca,Above Grade,Total,Features,Building Amenities,Cooling,Heating Type,Exterior Finish,Pool Type,Community Features,Amenities Nearby,Maintenance Fees,Maintenance Management Company,Total Parking Spaces,rooms_info
36B SHANK ST,"Toronto, Ontario M6J3T9",23834585,C5435216,SingleFamily,569800.00,,Apartment,,1,1,,"Park,PublicTransit",,,,,,Underground,,,,,,,,,Storage-Locker,,,no,,,,yes,23,no,,Toronto,Ontario,no,yes,no,no,yes,no,no,Single Family,Apartment,Niagara,Condominium/Strata,"$2,600 (CAD)",Underground,4 days,1,1,,Storage - Locker,Central air conditioning,Forced air (Electric),Brick,,,"Park, Public Transit",$618 (CAD) Monthly,Best Practices Property Management 416-989-5290,1,"{'Main level': {'Living room': '4.4 m x 4.2 m', 'Dining room': '4.4 m x 4.2 m', 'Kitchen': '3.56 m x 2.9 m', 'Bedroom': '3.45 m x 3.45 m'}}"
#2506 -65 BREMNER BLVD,"Toronto, Ontario M5J0A7",23806983,C5426170,SingleFamily,629000.00,,Apartment,,1,1,,PublicTransit,,,,,,Underground,,,,,,,,,"PartyRoom,Security/Concierge,ExerciseCentre",,,no,,,,yes,21,no,,Toronto,Ontario,no,yes,no,no,yes,no,no,Single Family,Apartment,Waterfront Communities C1,Condominium/Strata,"$1,979.68 (CAD)",Underground,14 days,1,1,Balcony,"Party Room, Security/Concierge, Exercise Centre",Central air conditioning,Forced air (Natural gas),Concrete,Indoor pool,,Public Transit,$417.69 (CAD) Monthly,Del Property Management Inc. 416-364-1777,,"{'Flat': {'Living room': '4.42 m x 4.3 m', 'Dining room': '4.42 m x 4.3 m', 'Kitchen': '4.42 m x 4.3 m', 'Primary Bedroom': '3.03 m x 2.73 m'}}"
#1619 -955 BAY ST,"Toronto, Ontario M5S2A2",23801676,C5424100,SingleFamily,549990.00,,Apartment,,1,0,,"Hospital,Park,PublicTransit,Schools",,,,,,,,,,,,,,,"Security/Concierge,PartyRoom,ExerciseCentre",,,no,,,,yes,11,Video,Youtube,Toronto,Ontario,no,yes,no,no,yes,no,no,Single Family,Apartment,Bay Street Corridor,Condominium/Strata,"$1,799.73 (CAD)",,17 days,,1,Balcony,"Security/Concierge, Party Room, Exercise Centre",Central air conditioning,Forced air (Natural gas),Concrete,Outdoor pool,,"Hospital, Park, Public Transit, Schools",$256.45 (CAD) Monthly,Duka Property Management,,"{'Main level': {'Foyer': 'Measurements not available', 'Living room': '3.92 m x 2.75 m', 'Dining room': '3.92 m x 2.75 m', 'Kitchen': '3.82 m x 2.68 m'}}"
#402 -90 LING RD,"Toronto, Ontario M1E4Y3",23809800,E5426888,SingleFamily,349900.00,,Apartment,,1,2,CommunityCentre,"Hospital,PublicTransit,Schools",,,,,,"Underground,VisitorParking",,,,,,,,,"PartyRoom,Security/Concierge,ExerciseCentre",,,no,,,,yes,40,Video,,Toronto,Ontario,no,yes,no,no,yes,no,no,Single Family,Apartment,West Hill,Condominium/Strata,$953.18 (CAD),"Underground, Visitor Parking",13 days,2,1,Balcony,"Party Room, Security/Concierge, Exercise Centre",,,Brick,Outdoor pool,Community Centre,"Hospital, Public Transit, Schools",$588.65 (CAD) Monthly,Near North Services Inc,1,"{'Main level': {'Kitchen': '4.88 m x 2.13 m', 'Living room': '5.76 m x 3.35 m', 'Dining room': '3.35 m x 3.35 m', 'Primary Bedroom': '4.15 m x 3.32 m', 'Bedroom 2': '4.15 m x 2.62 m'}}"
#873 -209 FORT YORK BLVD,"Toronto, Ontario M5V4A1",23746283,C5405794,SingleFamily,448800.00,,Apartment,,1,0,,"Hospital,Park,PublicTransit",,,,,,VisitorParking,,,,,,,,,"Storage-Locker,Security/Concierge,Sauna,ExerciseCentre",,,no,,,,yes,21,no,,Toronto,Ontario,no,yes,no,no,yes,no,no,Single Family,Apartment,Niagara,Condominium/Strata,"$1,374 (CAD)",Visitor Parking,34 days,,1,Balcony,"Storage - Locker, Security/Concierge, Sauna, Exercise Centre",Central air conditioning,Forced air (Natural gas),Concrete,Indoor pool,,"Hospital, Park, Public Transit",$309.25 (CAD) Monthly,First Service Residential,,"{'Main level': {'Living room': '5.14 m x 4.02 m', 'Dining room': '5.14 m x 4.02 m', 'Kitchen': '5.14 m x 4.02 m'}}"
#S804 -475 FRONT ST E,"Toronto, Ontario M5A1H7",23831222,C5434280,SingleFamily,729000.00,,Apartment,,1,2,CommunityCentre,"Park,PublicTransit",,,,,,Underground,,,,,,,,,"Security/Concierge,PartyRoom,ExerciseCentre",,,no,,,,yes,7,no,,Toronto,Ontario,no,yes,no,no,yes,no,no,Single Family,Apartment,Waterfront Communities C8,Condominium/Strata,$0 (CAD),Underground,5 days,2,1,,"Security/Concierge, Party Room, Exercise Centre",Central air conditioning,Heat Pump (Natural gas),,,Community Centre,"Park, Public Transit",,Tbd,,{}
#1211 -5 ST JOSEPH ST,"Toronto, Ontario M4Y1J6",23803775,C5424901,SingleFamily,929900.00,,Apartment,,1,2,,,,,,,,Underground,,,,,,,,,,,,no,,,,yes,7,no,,Toronto,Ontario,no,yes,no,no,no,no,no,Single Family,Apartment,Bay Street Corridor,Condominium/Strata,"$2,712.90 (CAD)",Underground,16 days,1,1,Balcony,,Central air conditioning,Forced air (Natural gas),Concrete,,,,$495.48 (CAD) Monthly,First Service Residential,,"{'Main level': {'Living room': '4.6 m x 3.21 m', 'Dining room': '4.6 m x 3.21 m', 'Kitchen': '2.3 m x 3.5 m', 'Primary Bedroom': '2.9 m x 3.12 m', 'Den': '3.6 m x 1.8 m'}}"
#910 -38 FOREST MANOR RD,"Toronto, Ontario M2J0H4",23830304,C5433946,SingleFamily,799000.00,,Apartment,,2,2,,,,,,,,"Underground,VisitorParking",,,,,,,,,"Storage-Locker,Security/Concierge,ExerciseCentre",,,no,,,,yes,11,Video,Matterport,Toronto,Ontario,no,yes,no,no,no,no,no,Single Family,Apartment,Henry Farm,Condominium/Strata,$0 (CAD),"Underground, Visitor Parking",5 days,2,2,Balcony,"Storage - Locker, Security/Concierge, Exercise Centre",Central air conditioning,Forced air (Natural gas),Concrete,Indoor pool,,,,Tba,1,{}
#1217 -505 RICHMOND ST W,"Toronto, Ontario",23806917,C5425930,SingleFamily,2100000.00,,Apartment,,3,3,,,,,,,,Underground,,,,,,,,,Storage-Locker,,,no,,,,yes,33,Video,Matterport,Toronto,Ontario,no,yes,no,no,no,no,no,Single Family,Apartment,Waterfront Communities C1,Condominium/Strata,$0 (CAD),Underground,14 days,2,3,,Storage - Locker,Central air conditioning,Forced air (Natural gas),,,,,$856.75 (CAD) Monthly,Icc Property Management,2,"{'Main level': {'Living room': '3.93 m x 6.67 m', 'Primary Bedroom': '3.41 m x 4 m', 'Bathroom': 'Measurements not available', 'Dining room': '3.4 m x 4.11 m', 'Den': '2.43 m x 4.14 m', 'Bedroom 2': '2.8 m x 2.8 m'}}"
#112 -365 BEECROFT RD,"Toronto, Ontario M2N0J3",23819402,C5430225,SingleFamily,1228000.00,,Row/Townhouse,,2,3,CommunityCentre,"Park,PublicTransit",3,,,,,"Underground,VisitorParking",,,,,,,,,"Storage-Locker,Security/Concierge,PartyRoom,ExerciseCentre",,,no,,,,yes,37,no,,Toronto,Ontario,no,yes,no,no,no,no,no,Single Family,Row / Townhouse,Willowdale West,Condominium/Strata,"$5,126.40 (CAD)","Underground, Visitor Parking",10 days,3,2,Balcony,"Storage - Locker, Security/Concierge, Party Room, Exercise Centre",Central air conditioning,Forced air (Natural gas),Brick,,Community Centre,"Park, Public Transit",$563.46 (CAD) Monthly,Long View Management,1,"{'Main level': {'Great room': '4.88 m x 3.66 m', 'Kitchen': '4.88 m x 2.28 m'}, 'Second level': {'Bedroom 2': '4.23 m x 2.7 m', 'Bedroom 3': '2.65 m x 2.14 m', 'Bathroom': 'Measurements not available'}, 'Third level': {'Primary Bedroom': '4.98 m x 3.1 m', 'Bathroom': 'Measurements not available', 'Laundry room': 'Measurements not available'}, 'Upper Level': {'Sunroom': '5.94 m x 5.64 m'}}"
#TH03 -205 BONIS AVE,"Toronto, Ontario M1T3W6",23822111,E5430990,SingleFamily,769000.00,,Row/Townhouse,,2,3,,"Park,PublicTransit,Schools",3,,,,,Underground,,,,,,,,,"PartyRoom,ExerciseCentre",,,no,,,,yes,32,no,,Toronto,Ontario,no,yes,no,no,yes,no,no,Single Family,Row / Townhouse,Tam O'Shanter-Sullivan,Condominium/Strata,"$3,507.21 (CAD)",Underground,9 days,3,2,,"Party Room, Exercise Centre",Central air conditioning,Forced air (Natural gas),Brick,Indoor pool,,"Park, Public Transit, Schools",$718.43 (CAD) Monthly,Crossbridge: 416-292-2793,1,"{'Second level': {'Bedroom 2': '4.27 m x 2.97 m', 'Bedroom 3': '4.27 m x 2.97 m'}, 'Third level': {'Primary Bedroom': '3.33 m x 4.19 m'}, 'Basement': {'Storage': 'Measurements not available'}, 'Ground level': {'Living room': '4.27 m x 3.14 m', 'Dining room': '4.27 m x 3.14 m', 'Kitchen': '3.33 m x 4.72 m'}}"
267 MUTUAL ST,"Toronto, Ontario M4Y1X6",23819405,C5430251,SingleFamily,1879000.00,,Row/Townhouse,,2,4,,,,,,,,Underground,,,,,,,,,Storage-Locker,,,no,,,,yes,40,Video,,Toronto,Ontario,no,yes,no,no,no,no,no,Single Family,Row / Townhouse,Church-Yonge Corridor,Condominium/Strata,"$6,965.55 (CAD)",Underground,10 days,3,2,,Storage - Locker,Central air conditioning,Forced air (Natural gas),,,,,$790.37 (CAD) Monthly,Icc Property Management 416-927-9665,1,"{'Main level': {'Living room': '5.33 m x 4.91 m', 'Dining room': '5.33 m x 4.91 m', 'Kitchen': '6.16 m x 2.83 m'}, 'Second level': {'Primary Bedroom': '4.3 m x 4.6 m', 'Bedroom 2': '3.68 m x 2.99 m'}, 'Third level': {'Bedroom 3': '4.3 m x 3.87 m', 'Den': '4.51 m x 2.16 m'}, 'Basement': {'Utility room': '1.86 m x 2.1 m'}, 'Upper Level': {'Sunroom': '4.99 m x 3.5 m'}}"
#1007 -501 ST CLAIR AVE W,"Toronto, Ontario M5P0A2",23825152,C5432191,SingleFamily,899000.00,,Apartment,,2,2,,"Park,PublicTransit,Schools",,,,,,Underground,,,,,,,,,"Storage-Locker,Security/Concierge,PartyRoom,ExerciseCentre",,,no,,,,yes,20,Video,,Toronto,Ontario,no,yes,no,no,no,no,no,Single Family,Apartment,Casa Loma,Condominium/Strata,"$3,537.76 (CAD)",Underground,7 days,2,2,Balcony,"Storage - Locker, Security/Concierge, Party Room, Exercise Centre",Central air conditioning,Heat Pump (Natural gas),Concrete,Outdoor pool,,"Park, Public Transit, Schools",$889.82 (CAD) Monthly,City Site Property Management 647-350-8533,1,"{'Main level': {'Foyer': 'Measurements not available', 'Living room': '3.89 m x 3.71 m', 'Dining room': '3.89 m x 3.71 m', 'Kitchen': '3.18 m x 2.24 m', 'Primary Bedroom': '3.3 m x 3.05 m', 'Bathroom': 'Measurements not available', 'Bedroom 2': '3.18 m x 2.84 m'}}"
#1803 -714 THE WEST MALL RD,"Toronto, Ontario M9C4X1",23809260,W5426753,SingleFamily,450000.00,,Apartment,,2,3,,,,,,,,Underground,,,,,,,,,,,,no,,,,yes,9,no,,Toronto,Ontario,no,yes,no,no,yes,no,no,Single Family,Apartment,Eringate-Centennial-West Deane,Condominium/Strata,"$1,258.69 (CAD)",Underground,13 days,2,2,Balcony,,Central air conditioning,Forced air (Natural gas),Brick,,,,$911.03 (CAD) Monthly,Aa Property Management (416) 620-7355,1,"{'Main level': {'Living room': '3.39 m x Measurements not available', 'Dining room': '3.63 m x 2.44 m', 'Kitchen': '4.08 m x 3.35 m', 'Primary Bedroom': '5.39 m x 3.29 m', 'Bedroom 2': '3.66 m x 2.68 m', 'Den': '3.6 m x 2.43 m'}}"
#1907 -50 POWER ST,"Toronto, Ontario M5A3A6",23837226,C5436333,SingleFamily,1220900.00,,Apartment,,2,3,,"Park,PublicTransit",,,,,,Underground,,,,,,,,,ExerciseCentre,,,no,,,,yes,7,no,,Toronto,Ontario,no,yes,no,no,no,no,no,Single Family,Apartment,Moss Park,Condominium/Strata,$0 (CAD),Underground,3 days,3,2,Balcony,Exercise Centre,Central air conditioning,,Concrete,Outdoor pool,,"Park, Public Transit",$550.28 (CAD) Monthly,Forest Hill Kipling,,"{'Main level': {'Living room': '4.82 m x 6.6 m', 'Bedroom': '3.25 m x 2.6 m', 'Bedroom 2': '2.8 m x 2.72 m', 'Bedroom 3': '2.64 m x 3.32 m'}}"
#306 -2010 ISLINGTON AVE,"Toronto, Ontario M9P3S8",23808278,W5426320,SingleFamily,1150000.00,,Apartment,,3,3,,,,,,,,Underground,,,,,,,,,"Security/Concierge,ExerciseCentre",,,no,,,,yes,33,Video,,Toronto,Ontario,no,yes,no,no,no,no,no,Single Family,Apartment,Kingsview Village-The Westway,Condominium/Strata,"$2,413.72 (CAD)",Underground,13 days,2,3,Balcony,"Security/Concierge, Exercise Centre",Central air conditioning,Forced air (Natural gas),Brick,"Indoor pool, Outdoor pool",,,"$2,131.09 (CAD) Monthly",G.P.M.,2,"{'Main level': {'Living room': '7 m x 7 m', 'Dining room': '7 m x 5 m', 'Kitchen': '14 m x 3 m', 'Den': '7.4 m x 3.8 m', 'Primary Bedroom': '5.5 m x 3.6 m', 'Bedroom 2': '5.35 m x 3.1 m'}}"
#1208 -185 LEGION RD N,"Toronto, Ontario M8Y0A1",23818032,W5429741,SingleFamily,689900.00,,Apartment,,2,3,,"Marina,Park,PublicTransit",,,,,,"Underground,VisitorParking",,,,,,,,,"Security/Concierge,PartyRoom,ExerciseCentre",,,no,,,,yes,40,Video,Youtube,Toronto,Ontario,no,yes,no,no,yes,no,no,Single Family,Apartment,Mimico,Condominium/Strata,"$2,181.32 (CAD)","Underground, Visitor Parking",11 days,2,2,"Partially cleared, Balcony","Security/Concierge, Party Room, Exercise Centre",Central air conditioning,Forced air (Natural gas),Concrete,Outdoor pool,,"Marina, Park, Public Transit",$825.86 (CAD) Monthly,Crossbridge Condominium Services 647-352-6677,1,"{'Main level': {'Living room': '6.58 m x 3.18 m', 'Dining room': '6.5 m x 3.18 m', 'Kitchen': '3.68 m x 2.58 m', 'Primary Bedroom': '5.18 m x 3.08 m', 'Bedroom 2': '3.18 m x 2.73 m', 'Den': '2.68 m x 2.23 m'}}"
#535 -22 EAST HAVEN DR,"Toronto, Ontario M1N0B4",23827011,E5432679,SingleFamily,579900.00,,Apartment,,2,3,,,,,,,,"Underground,VisitorParking",,,,,,,,,"Storage-Locker,Security/Concierge,PartyRoom,ExerciseCentre,RecreationCentre",,,no,,,,yes,10,no,,Toronto,Ontario,no,yes,no,no,yes,no,no,Single Family,Apartment,Guildwood,Condominium/Strata,"$1,802.49 (CAD)","Underground, Visitor Parking",6 days,2,2,Balcony,"Storage - Locker, Security/Concierge, Party Room, Exercise Centre, Recreation Centre",Central air conditioning,Forced air (Natural gas),"Brick, Concrete",,,,$618.56 (CAD) Monthly,Duka Property Mangement,1,{}
#1006 -5444 YONGE ST,"Toronto, Ontario M2N6J4",23749009,C5406787,SingleFamily,975000.00,,Apartment,,2,3,,,,,,,,Underground,,,,,,,,,"Security/Concierge,ExerciseCentre,RecreationCentre",,,no,,,,yes,23,no,,Toronto,Ontario,no,yes,no,no,no,no,no,Single Family,Apartment,Willowdale West,Condominium/Strata,"$3,327 (CAD)",Underground,34 days,3,2,,"Security/Concierge, Exercise Centre, Recreation Centre",Central air conditioning,Forced air (Natural gas),Concrete,"Indoor pool, Outdoor pool",,,"$1,333.10 (CAD) Monthly",Del Property Management 416-223-8114 Ext 254,1,"{'Flat': {'Living room': '4.72 m x 4.11 m', 'Dining room': '3.61 m x 4.11 m', 'Kitchen': '4.01 m x 3 m', 'Office': '6.43 m x 3.07 m', 'Primary Bedroom': '5.21 m x 3.53 m', 'Bedroom 2': '3.96 m x 3.48 m', 'Bedroom 3': '3.07 m x 3.05 m', 'Laundry room': '2.49 m x 1.88 m'}}"
#413 -170 CHILTERN HILL RD,"Toronto, Ontario M6C0A9",23811633,C5427387,SingleFamily,749000.00,,Apartment,,2,3,,,,,,,,Underground,,,,,,,,,Storage-Locker,,Apartmentinbasement,no,,,,yes,11,no,,Toronto,Ontario,no,yes,no,no,yes,no,no,Single Family,Apartment,Humewood-Cedarvale,Condominium/Strata,"$4,701.68 (CAD)",Underground,12 days,3,2,Balcony,Storage - Locker,Central air conditioning,Forced air (Natural gas),Concrete,,,,"$1,089.16 (CAD) Monthly",The Meritus Group,1,{}
#407 -676 SHEPPARD AVE EAST AVE,"Toronto, Ontario M2K3E7",23839398,C5437155,SingleFamily,658900.00,,Apartment,,2,2,,"Hospital,Park,PublicTransit",,,,,,"Underground,VisitorParking",,,,,,,,,"Storage-Locker,PartyRoom,ExerciseCentre",,,no,,,,yes,12,no,,Toronto,Ontario,no,yes,no,no,yes,no,no,Single Family,Apartment,Bayview Village,Condominium/Strata,"$2,395 (CAD)","Underground, Visitor Parking",3 days,1,2,"Sloping, Balcony","Storage - Locker, Party Room, Exercise Centre",Central air conditioning,Forced air (Natural gas),Brick,,,"Hospital, Park, Public Transit",$620 (CAD) Monthly,Icc Property Management,1,"{'Flat': {'Living room': '5.5 m x 3.2 m', 'Dining room': '5.5 m x 3.2 m', 'Kitchen': '2.7 m x 2.42 m', 'Bedroom': '3.96 m x 3.03 m', 'Den': '2.44 m x 2.35 m'}}"
#1120 -15 JAMES FINLAY WAY,"Toronto, Ontario M3M0B3",23829397,W5433529,SingleFamily,649900.00,,Apartment,,2,2,,"Hospital,PublicTransit,Schools",,,,,,"AttachedGarage,VisitorParking",,,,,,,,,"Storage-Locker,PartyRoom,Security/Concierge,ExerciseCentre",,,no,,,,yes,39,no,,Toronto,Ontario,no,yes,no,no,yes,no,no,Single Family,Apartment,Downsview-Roding-CFB,Condominium/Strata,"$2,932.87 (CAD)","Attached Garage, Visitor Parking",6 days,2,2,,"Storage - Locker, Party Room, Security/Concierge, Exercise Centre",Central air conditioning,Forced air (Electric),"Brick, Concrete",,,"Hospital, Public Transit, Schools",$874.15 (CAD) Monthly,Zoran Property Management,1,"{'Main level': {'Living room': '5.05 m x 3.35 m', 'Dining room': '5.05 m x 3.35 m', 'Kitchen': '1.82 m x 1.82 m', 'Primary Bedroom': '4.26 m x 3.04 m', 'Bedroom 2': '3.47 m x 2.77 m'}}"
#2111 -2350 BRIDLETOWNE CIRC,"Toronto, Ontario M1W3E6",23813458,E5428031,SingleFamily,649888.00,,Apartment,,2,2,,"Hospital,Park,PublicTransit,Schools",,,,,,"Underground,VisitorParking",,,,,,,,,"PartyRoom,Security/Concierge,ExerciseCentre",,,no,,,,yes,18,no,,Toronto,Ontario,no,yes,no,no,yes,no,no,Single Family,Apartment,L'Amoreaux,Condominium/Strata,"$1,985.30 (CAD)","Underground, Visitor Parking",12 days,1,2,,"Party Room, Security/Concierge, Exercise Centre",Central air conditioning,Forced air (Electric),"Brick, Concrete","Indoor pool, Outdoor pool",,"Hospital, Park, Public Transit, Schools",$830.19 (CAD) Monthly,Del Property Management  416-479-4022,1,"{'Flat': {'Living room': '8.83 m x 3.81 m', 'Dining room': '8.83 m x 3.81 m', 'Kitchen': '3.66 m x 3.07 m', 'Primary Bedroom': '4.98 m x 3.58 m', 'Family room': '4.65 m x 3.3 m', 'Solarium': '3.81 m x 2.62 m', 'Laundry room': '1.88 m x 1.55 m', 'Storage': '1.85 m x 1.42 m'}}"
#2201 -30 MEADOWGLEN PL,"Toronto, Ontario",23825190,E5432164,SingleFamily,558800.00,,Apartment,,2,2,,,,,,,,Underground,,,,,,,,,Storage-Locker,,,no,,,,yes,26,no,,Toronto,Ontario,no,yes,no,no,yes,no,no,Single Family,Apartment,Woburn,Condominium/Strata,"$1,745.20 (CAD)",Underground,7 days,1,2,Balcony,Storage - Locker,Central air conditioning,Forced air,Brick,,,,$432.57 (CAD) Monthly,Rab Property Management 4164386221,1,"{'Main level': {'Dining room': '5.7 m x 3.11 m', 'Living room': '5.7 m x 3.11 m', 'Kitchen': '3.42 m x 2.17 m', 'Bathroom': 'Measurements not available', 'Den': '2.85 m x 2.16 m'}}"
#PARKING -25 TELEGRAM MEWS,"Toronto, Ontario M5V3Z1",23792125,C5420909,Parking,47000.00,,Parking,,0,,,,,,,,,Underground,,,,,,,,,,,,no,,,,yes,1,no,,Toronto,Ontario,no,yes,no,no,yes,no,no,Parking,Parking,Waterfront Communities C1,Condominium/Strata,$324.11 (CAD),Underground,19 days,,0,,,,,Concrete,,,,$43.16 (CAD) Monthly,Icc,1,{}
#2102 -155 MARLEE AVE,"Toronto, Ontario M6B4B5",23812784,W5427726,SingleFamily,799000.00,,Apartment,,2,3,,"Park,PublicTransit,Schools",,,,,,"Underground,VisitorParking",,,,,,,,,"PartyRoom,Sauna,ExerciseCentre",,,no,,,,yes,40,no,,Toronto,Ontario,no,yes,no,no,no,no,no,Single Family,Apartment,Briar Hill-Belgravia,Condominium/Strata,"$2,486.82 (CAD)","Underground, Visitor Parking",12 days,3,2,Balcony,"Party Room, Sauna, Exercise Centre",Wall unit,Hot water radiator heat (Natural gas),Brick,Indoor pool,,"Park, Public Transit, Schools",$883.94 (CAD) Monthly,Del Property Management,1,"{'Flat': {'Living room': '6.12 m x 3.4 m', 'Dining room': '3.28 m x 2.46 m', 'Kitchen': '4.27 m x 2.44 m', 'Primary Bedroom': '4.65 m x 4.02 m', 'Bedroom 2': '3.75 m x 2.95 m', 'Bedroom 3': '3.55 m x 2.95 m', 'Laundry room': '2.46 m x 2.12 m'}}"
#2503 -210 VICTORIA ST,"Toronto, Ontario M5B2R3",23774550,C5415211,SingleFamily,705000.00,,Apartment,,2,2,PetsnotAllowed,,,,,,,Underground,,,,,,,,,Security/Concierge,,,no,,,,yes,12,no,,Toronto,Ontario,no,yes,no,no,yes,no,no,Single Family,Apartment,Church-Yonge Corridor,Condominium/Strata,"$2,529.59 (CAD)",Underground,25 days,1,2,,Security/Concierge,Central air conditioning,Forced air (Electric),Concrete,,Pets not Allowed,,$698.08 (CAD) Monthly,360 Community Management Ltd.,1,"{'Flat': {'Living room': '6.64 m x 2.71 m', 'Dining room': '6.64 m x 2.71 m', 'Primary Bedroom': '3.62 m x 2.99 m', 'Study': '2.65 m x 2.56 m', 'Kitchen': '2.32 m x 1.86 m'}}"
#303 -2603 BATHURST ST,"Toronto, Ontario M6B2Z6",23788276,C5419688,SingleFamily,650000.00,,Apartment,,2,2,CommunityCentre,"Park,PublicTransit",,,,,,Underground,,,,,,,,,"Storage-Locker,ExerciseCentre",,,no,,,,yes,24,no,,Toronto,Ontario,no,yes,no,no,yes,no,no,Single Family,Apartment,Forest Hill North,Undivided Co-ownership,"$2,654.03 (CAD)",Underground,20 days,2,2,Balcony,"Storage - Locker, Exercise Centre",Wall unit,Radiant heat (Natural gas),Brick,,Community Centre,"Park, Public Transit",$710.76 (CAD) Monthly,Peer Property Management,1,"{'Flat': {'Living room': '3.83 m x 4.04 m', 'Dining room': '3.83 m x 4.03 m', 'Kitchen': '2.44 m x 3.57 m', 'Primary Bedroom': '4.84 m x 3.69 m', 'Bedroom 2': '3.83 m x 3.42 m'}}"
#1601 -2152 LAWRENCE AVE E,"Toronto, Ontario M1R3A7",23771894,E5414283,SingleFamily,649900.00,,Apartment,,2,2,,"Hospital,Park,PublicTransit,Schools",,,,,,VisitorParking,,,,,,,,,"Security/Concierge,ExerciseCentre",,,no,,,,yes,23,Video,,Toronto,Ontario,no,yes,no,no,yes,no,no,Single Family,Apartment,Wexford-Maryvale,Condominium/Strata,"$1,989.14 (CAD)",Visitor Parking,26 days,2,2,Balcony,"Security/Concierge, Exercise Centre",Central air conditioning,Forced air (Natural gas),Brick,,,"Hospital, Park, Public Transit, Schools",$566.77 (CAD) Monthly,Crossbridge Condominium Services Ltd.,1,"{'Flat': {'Living room': 'Measurements not available', 'Dining room': 'Measurements not available', 'Kitchen': 'Measurements not available', 'Primary Bedroom': 'Measurements not available', 'Bedroom 2': 'Measurements not available', 'Laundry room': 'Measurements not available'}}"
#1111 -10 DELISLE AVE,"Toronto, Ontario M4V3C6",23795140,C5421966,SingleFamily,999999.00,,Apartment,,2,2,,"PublicTransit,Schools",,,,,,Underground,,,,,,,,,"Storage-Locker,CarWash,Security/Concierge,PartyRoom,ExerciseCentre,RecreationCentre",,,no,,,,yes,28,no,,Toronto,Ontario,no,yes,no,no,no,no,no,Single Family,Apartment,Yonge-St. Clair,Condominium/Strata,"$4,002 (CAD)",Underground,18 days,2,2,"Ravine, Balcony","Storage - Locker, Car Wash, Security/Concierge, Party Room, Exercise Centre, Recreation Centre",Central air conditioning,Forced air (Natural gas),Concrete,,,"Public Transit, Schools","$1,006.42 (CAD) Monthly",Del Property Management,1,"{'Main level': {'Foyer': '1.27 m x 3.05 m', 'Living room': '3.53 m x 5.23 m', 'Dining room': '3.35 m x 3.35 m', 'Kitchen': '2.59 m x 2.44 m', 'Primary Bedroom': '3.05 m x 4.8 m', 'Bathroom': '1.52 m x 2.74 m', 'Bedroom 2': '2.69 m x 3.96 m'}}"
#403 -100 HAYDEN ST,"Toronto, Ontario M4Y3C7",23834623,C5435378,SingleFamily,699000.00,,Apartment,,1,2,,PublicTransit,,,,,,VisitorParking,,,,,,,,,"Storage-Locker,Security/Concierge,PartyRoom,ExerciseCentre",,,no,,,,yes,23,Video,,Toronto,Ontario,no,yes,no,no,yes,no,no,Single Family,Apartment,Church-Yonge Corridor,Condominium/Strata,"$2,548.74 (CAD)",Visitor Parking,4 days,1,1,Cul-de-sac,"Storage - Locker, Security/Concierge, Party Room, Exercise Centre",Central air conditioning,Forced air (Natural gas),Brick,Indoor pool,,Public Transit,$820.55 (CAD) Monthly,Crossbridge Condominium Service 416-962-2325,,"{'Flat': {'Living room': '5.67 m x 3.35 m', 'Kitchen': '1.64 m x 3.03 m', 'Primary Bedroom': '3.32 m x 3.5 m', 'Den': '2.29 m x 2.53 m', 'Dining room': '5.67 m x 3.35 m'}}"
#401 -33 HELENDALE AVE,"Toronto, Ontario M4R0A4",23801686,C5424173,SingleFamily,699000.00,,Apartment,,1,2,CommunityCentre,"Park,PublicTransit,Schools",,,,,,Underground,,,,,,,,,"Security/Concierge,PartyRoom,ExerciseCentre,RecreationCentre",,,no,,,,yes,27,Video,Matterport,Toronto,Ontario,no,yes,no,no,yes,no,no,Single Family,Apartment,Yonge-Eglinton,Condominium/Strata,"$2,542.13 (CAD)",Underground,17 days,2,1,Balcony,"Security/Concierge, Party Room, Exercise Centre, Recreation Centre",Central air conditioning,Forced air (Natural gas),Concrete,,Community Centre,"Park, Public Transit, Schools",$465.08 (CAD) Monthly,Icon Property Management,,"{'Flat': {'Kitchen': '3.05 m x 3.99 m', 'Dining room': '3.05 m x 3.99 m', 'Living room': '2.87 m x 2.77 m', 'Primary Bedroom': '2.87 m x 3.17 m', 'Bedroom 2': '2.31 m x 2.82 m', 'Bathroom': 'Measurements not available'}}"
