Address1,Address2,propertyID,listingID,propertyType,price,leasePrice,buildingType,neighbourhood,bathrooms,bedrooms,communityFeatures,nearbyAmenities,storeys,walkscore,transitscore,machineryIncluded,rentalEquipment,parkingType,majorBusinessType,minorBusinessType,totalUnits,landSize,zoningType,interiorFloorSpace,exteriorBuildingSize,franchise,buildingAmenities,buildingStyle,basementDevelopment,notificationUpdate,anchor,retailStorefront,clearCeilingHeight,hasphoto,photos,multimediaFeatures,listingVideoType,city,province,soldData,hasAlternateFeatureSheet,hasOpenHouse,hasVirtualOpenHouse,hasCMHCFTHBBanner,hasTDpreApprovalIcon,hasActiveVirtualOpenHouse,Property Type,Building Type,Community Name,Title,Annual Property Taxes,Parking Type,Time on REALTOR.ca,Above Grade,Total,Features,Building Amenities,Cooling,Heating Type,Exterior Finish,Pool Type,Community Features,Amenities Nearby,Maintenance Fees,Maintenance Management Company,Total Parking Spaces,rooms_info
#1 -35 DERVOCK CRES,"Toronto, Ontario M2K0G7",23812664,C5427936,SingleFamily,1980000.00,,Row/Townhouse,,4,4,,,3,,,,,Underground,,,,,,,,,,,Walkout,no,,,,yes,32,Video,,Toronto,Ontario,no,yes,no,no,no,no,no,Single Family,Row / Townhouse,Bayview Village,Condominium/Strata,"$6,798.98 (CAD)",Underground,12 days,4,4,,,Central air conditioning,Forced air (Natural gas),Brick,,,,$566.88 (CAD) Monthly,Fairway Property Management 647-404-1846,2,"{'Second level': {'Bedroom 2': '3.42 m x 3.06 m', 'Bedroom 3': '3.07 m x 2.47 m', 'Bedroom 4': '3.53 m x 2.92 m'}, 'Third level': {'Primary Bedroom': '4.88 m x 3.05 m', 'Laundry room': '2.4 m x 1.8 m'}, 'Basement': {'Storage': '2.5 m x 1.5 m', 'Other': '4.6 m x 1.2 m'}, 'Ground level': {'Foyer': '2.68 m x 2 m', 'Living room': '5.5 m x 4.3 m', 'Dining room': '3.22 m x 2.61 m', 'Kitchen': '4.05 m x 2.81 m'}}"
#309 -430 RONCESVALLES AVE,"Toronto, Ontario M6R3B9",23782853,W5417719,SingleFamily,999900.00,,Apartment,,2,3,,"Hospital,Park,PublicTransit,Schools",,,,,,"Underground,VisitorParking",,,,,,,,,"Storage-Locker,Security/Concierge,PartyRoom,ExerciseCentre",,,no,,,,yes,10,Video,Matterport,Toronto,Ontario,no,yes,no,no,no,no,no,Single Family,Apartment,Roncesvalles,Condominium/Strata,$0 (CAD),"Underground, Visitor Parking",23 days,2,2,Balcony,"Storage - Locker, Security/Concierge, Party Room, Exercise Centre",Central air conditioning,Heat Pump (Electric),"Brick, Concrete",,,"Hospital, Park, Public Transit, Schools",$414.10 (CAD) Monthly,Melbourne Property Management,1,"{'Other': {'Kitchen': 'Measurements not available', 'Living room': 'Measurements not available', 'Primary Bedroom': 'Measurements not available', 'Bathroom': 'Measurements not available', 'Bedroom 2': 'Measurements not available', 'Den': 'Measurements not available'}}"
#508 -19 WESTERN BATTERY RD,"Toronto, Ontario M6K0E3",23840438,C5437280,SingleFamily,498999.00,,Apartment,,1,1,,PublicTransit,,,,,,Underground,,,,,,,,,"Security/Concierge,ExerciseCentre",,,no,,,,yes,26,no,,Toronto,Ontario,no,yes,no,no,yes,no,no,Single Family,Apartment,Niagara,Condominium/Strata,"$1,741.39 (CAD)",Underground,2 days,1,1,,"Security/Concierge, Exercise Centre",Central air conditioning,Forced air (Natural gas),Concrete,Indoor pool,,Public Transit,$316.52 (CAD) Monthly,T.S.E. Management Services Inc.,,"{'Main level': {'Living room': '3.15 m x 2.92 m', 'Dining room': '3.15 m x 2.92 m', 'Kitchen': '3.54 m x 2.72 m', 'Bedroom': '3.26 m x 3.02 m'}}"
#502 -8 KINGSBRIDGE CRT,"Toronto, Ontario M2R1L5",23770911,C5413994,SingleFamily,439999.00,,Apartment,,1,1,,"Hospital,PublicTransit,Schools",,,,,,Garage,,,,,,,,,,,,no,,,,yes,35,no,,Toronto,Ontario,no,yes,no,no,yes,no,no,Single Family,Apartment,Westminster-Branson,Condominium/Strata,"$1,270.91 (CAD)",Garage,26 days,1,1,Balcony,,Window air conditioner,Radiant heat (Natural gas),Brick,,,"Hospital, Public Transit, Schools",$506.06 (CAD) Monthly,Dove Square Property Management Inc,1,"{'Flat': {'Living room': '6.3 m x 3.5 m', 'Dining room': '2.4 m x 2.3 m', 'Kitchen': '2.2 m x 2.2 m', 'Bedroom': '4.5 m x 3.1 m'}}"
#608 -1 GLEN PARK AVE,"Toronto, Ontario M6B4M5",23800898,C5423984,SingleFamily,1198000.00,,Apartment,,3,3,,"Park,PublicTransit",,,,,,"Underground,VisitorParking",,,,,,,,,"Storage-Locker,Security/Concierge,PartyRoom,ExerciseCentre",,,no,,,,yes,35,Video,,Toronto,Ontario,no,yes,no,no,no,no,no,Single Family,Apartment,Englemount-Lawrence,Condominium/Strata,"$3,727.18 (CAD)","Underground, Visitor Parking",17 days,2,3,Balcony,"Storage - Locker, Security/Concierge, Party Room, Exercise Centre",Central air conditioning,Heat Pump (Natural gas),Brick,,,"Park, Public Transit","$1,594.66 (CAD) Monthly",Gpm Property Management Claudio Franco 905-669-0222,2,"{'Flat': {'Foyer': '2.34 m x 1.52 m', 'Living room': '7.19 m x 5.92 m', 'Dining room': '7.92 m x 5.92 m', 'Kitchen': '2.82 m x 3.99 m', 'Den': '2.92 m x 5.31 m', 'Primary Bedroom': '3.71 m x 4.65 m', 'Bedroom 2': '2.9 m x 3.81 m'}}"
#3803 -14 YORK ST,"Toronto, Ontario M5J0B1",23805096,C5425448,SingleFamily,1238888.00,,Apartment,,2,3,,PublicTransit,,,,,,Underground,,,,,,,,,"Storage-Locker,Security/Concierge,PartyRoom,Sauna,ExerciseCentre",,,no,,,,yes,26,"Video,FloorPlan",iGuide,Toronto,Ontario,no,yes,no,no,no,no,no,Single Family,Apartment,Waterfront Communities C1,Condominium/Strata,"$4,753.68 (CAD)",Underground,14 days,3,2,Balcony,"Storage - Locker, Security/Concierge, Party Room, Sauna, Exercise Centre",Central air conditioning,Forced air (Natural gas),"Brick, Concrete",Indoor pool,,Public Transit,$868.74 (CAD) Monthly,Duka Property Management,1,"{'Main level': {'Kitchen': '4.81 m x 3.05 m', 'Living room': '3.69 m x 2.99 m', 'Dining room': '4.81 m x 3.05 m', 'Den': 'Measurements not available', 'Primary Bedroom': '2.99 m x 2.8 m', 'Bedroom 2': '2.8 m x 2.74 m', 'Bedroom 3': '2.87 m x 3.05 m', 'Laundry room': 'Measurements not available'}}"
#215 -60 SHUTER ST,"Toronto, Ontario M5B1A8",23765383,C5412239,SingleFamily,839900.00,,Apartment,,2,2,,"Hospital,PublicTransit,Schools",,,,,,Underground,,,,,,,,,"Security/Concierge,PartyRoom,ExerciseCentre,RecreationCentre",,,no,,,,yes,32,Video,,Toronto,Ontario,no,yes,no,no,no,no,no,Single Family,Apartment,Church-Yonge Corridor,Condominium/Strata,$0 (CAD),Underground,28 days,1,2,,"Security/Concierge, Party Room, Exercise Centre, Recreation Centre",Central air conditioning,Forced air (Natural gas),Concrete,,,"Hospital, Public Transit, Schools",$527.55 (CAD) Monthly,Menres Property Management 416-869-0569,,"{'Main level': {'Living room': '4.52 m x 2.9 m', 'Dining room': '3.18 m x 3.15 m', 'Kitchen': '3.18 m x 3.15 m', 'Primary Bedroom': '3.99 m x 2.75 m', 'Den': '3.05 m x 2.36 m'}}"
#3609 -5 ST JOSEPH ST,"Toronto, Ontario M4Y1J6",23751266,C5407586,SingleFamily,928000.00,,Apartment,,1,2,,"Hospital,Park,PublicTransit,Schools",,,,,,VisitorParking,,,,,,,,,"Security/Concierge,PartyRoom,Sauna,ExerciseCentre",,,no,,,,yes,16,no,,Toronto,Ontario,no,yes,no,no,no,no,no,Single Family,Apartment,Bay Street Corridor,Condominium/Strata,"$2,963.41 (CAD)",Visitor Parking,33 days,1,1,Balcony,"Security/Concierge, Party Room, Sauna, Exercise Centre",Central air conditioning,Forced air (Natural gas),Concrete,,,"Hospital, Park, Public Transit, Schools",$496.99 (CAD) Monthly,First Service Residential,,"{'Flat': {'Living room': 'Measurements not available', 'Dining room': 'Measurements not available', 'Kitchen': 'Measurements not available', 'Den': 'Measurements not available', 'Primary Bedroom': 'Measurements not available'}}"
#1110 -168 SIMCOE ST,"Toronto, Ontario M5H4C9",23773306,C5414860,SingleFamily,1499000.00,,Apartment,,2,3,,"PublicTransit,Schools",,,,,,"Underground,VisitorParking",,,,,,,,,"Storage-Locker,Security/Concierge,PartyRoom,ExerciseCentre",,,no,,,,yes,36,Video,,Toronto,Ontario,no,yes,no,no,no,no,no,Single Family,Apartment,Waterfront Communities C1,Condominium/Strata,"$4,124.33 (CAD)","Underground, Visitor Parking",26 days,2,2,Balcony,"Storage - Locker, Security/Concierge, Party Room, Exercise Centre",Central air conditioning,Forced air (Natural gas),Concrete,,,"Public Transit, Schools","$1,302.76 (CAD) Monthly",Turnkey Property Management,2,"{'Flat': {'Dining room': '3.9 m x 2.96 m', 'Primary Bedroom': '2.9 m x 5.03 m', 'Bedroom 2': '6.08 m x 2.75 m', 'Kitchen': '6.6 m x 1.89 m', 'Family room': '3.3 m x 3.45 m', 'Den': '2.2 m x 2.75 m'}}"
#618 -10 GATEWAY BLVD,"Toronto, Ontario M3C3A1",23806097,C5425728,SingleFamily,499900.00,,Apartment,,2,1,,"PublicTransit,Schools",,,,,,"Carport,VisitorParking",,,,,,,,,"Storage-Locker,ExerciseCentre",,,no,,,,yes,32,Video,,Toronto,Ontario,no,no,no,no,yes,no,no,Single Family,Apartment,Flemingdon Park,Condominium/Strata,"$1,503.10 (CAD)","Carport, Visitor Parking",14 days,1,2,"Wooded area, Ravine, Conservation/green belt","Storage - Locker, Exercise Centre",Central air conditioning,Forced air (Natural gas),"Brick, Concrete",,,"Public Transit, Schools",$829.54 (CAD) Monthly,Tse Management Services,1,"{'Main level': {'Living room': '6.07 m x 5.74 m', 'Dining room': '2.54 m x 2.62 m', 'Kitchen': '2.41 m x 3.23 m', 'Primary Bedroom': '2.97 m x 7.8 m', 'Laundry room': '1.78 m x 3.23 m'}}"
#PH10 -205 THE DONWAY W,"Toronto, Ontario M3B3S5",23814280,C5428321,SingleFamily,698800.00,,Apartment,,2,2,,"Park,PublicTransit,Schools",,,,,,"Underground,VisitorParking",,,,,,,,,"Storage-Locker,Security/Concierge,PartyRoom,Sauna,ExerciseCentre",,,no,,,,yes,27,Video,,Toronto,Ontario,no,yes,no,no,yes,no,no,Single Family,Apartment,Banbury-Don Mills,Condominium/Strata,"$2,786.22 (CAD)","Underground, Visitor Parking",11 days,2,2,Balcony,"Storage - Locker, Security/Concierge, Party Room, Sauna, Exercise Centre",Central air conditioning,Forced air (Natural gas),Stucco,Indoor pool,,"Park, Public Transit, Schools",$794.94 (CAD) Monthly,Royal Grande 416-495-7902,1,"{'Flat': {'Kitchen': '3.07 m x 2.59 m', 'Living room': '5.11 m x 3.05 m', 'Dining room': '5.11 m x 3.05 m', 'Primary Bedroom': '4.19 m x 3.28 m', 'Bedroom': '3.18 m x 2.57 m'}}"
#1229 -700 HUMBERWOOD BLVD,"Toronto, Ontario M9W7J4",23834782,W5435288,SingleFamily,529000.00,,Apartment,,1,2,,"PublicTransit,Schools",,,,,,Underground,,,,,,,,,"Storage-Locker,Security/Concierge,PartyRoom,ExerciseCentre",,,no,,,,yes,6,no,,Toronto,Ontario,no,yes,no,no,yes,no,no,Single Family,Apartment,West Humber-Clairville,Condominium/Strata,"$1,496.98 (CAD)",Underground,4 days,1,1,"Ravine, Conservation/green belt, Balcony","Storage - Locker, Security/Concierge, Party Room, Exercise Centre",Central air conditioning,Forced air (Natural gas),Concrete,Indoor pool,,"Public Transit, Schools",$419.28 (CAD) Monthly,Dpm Management 416-679-1844,1,"{'Flat': {'Living room': '5.49 m x 3.51 m', 'Dining room': 'Measurements not available', 'Kitchen': '2.44 m x 2.44 m', 'Primary Bedroom': '3.96 m x 3.05 m', 'Den': '2.44 m x 2.13 m'}}"
#2806 -88 SHEPPARD AVE E,"Toronto, Ontario M2N0G9",23838054,C5436438,SingleFamily,599000.00,,Apartment,,1,2,,"PublicTransit,Schools",,,,,,"Underground,VisitorParking",,,,,,,,,"Storage-Locker,Security/Concierge,ExerciseCentre",,,no,,,,yes,7,no,,Toronto,Ontario,no,yes,no,no,yes,no,no,Single Family,Apartment,Willowdale East,Condominium/Strata,"$2,474.60 (CAD)","Underground, Visitor Parking",3 days,1,1,Balcony,"Storage - Locker, Security/Concierge, Exercise Centre",Central air conditioning,Forced air (Natural gas),Concrete,,,"Public Transit, Schools",$245.98 (CAD) Monthly,First Residential Service,,"{'Main level': {'Living room': 'Measurements not available', 'Kitchen': 'Measurements not available', 'Dining room': 'Measurements not available', 'Den': 'Measurements not available', 'Bedroom': 'Measurements not available'}}"
#TH129 -2289 LAKE SHORE BLVD W,"Toronto, Ontario M8V3Y1",23785100,W5418634,SingleFamily,1490000.00,,Row/Townhouse,,3,3,,"Marina,Park,PublicTransit",3,,,,,"Underground,VisitorParking",,,,,,,,,"Storage-Locker,Security/Concierge,ExerciseCentre",,,no,,,,yes,35,Video,Matterport,Toronto,Ontario,no,yes,no,no,no,no,no,Single Family,Row / Townhouse,Mimico,Condominium/Strata,"$4,839.62 (CAD)","Underground, Visitor Parking",21 days,2,3,Conservation/green belt,"Storage - Locker, Security/Concierge, Exercise Centre",Central air conditioning,Forced air (Electric),Brick,Indoor pool,,"Marina, Park, Public Transit","$1,737.17 (CAD) Monthly",Maple Ridge Community Management,2,"{'Second level': {'Kitchen': '4.26 m x 3.35 m', 'Bedroom': '4.88 m x 4.42 m', 'Bedroom 2': '3.35 m x 3.35 m'}, 'Third level': {'Family room': '4.88 m x 4.27 m'}, 'Ground level': {'Foyer': '4.67 m x 1.98 m', 'Living room': '5.64 m x 3.95 m', 'Dining room': '4.57 m x 3.5 m'}}"
#607 -181 DUNDAS ST E,"Toronto, Ontario M5A0N5",23825909,C5432548,SingleFamily,546000.00,,Apartment,,1,1,PetsnotAllowed,"Hospital,Park,PublicTransit,Schools",,,,,,Underground,,,,,,,,,"Security/Concierge,ExerciseCentre,RecreationCentre",,,no,,,,yes,6,no,,Toronto,Ontario,no,yes,no,no,yes,no,no,Single Family,Apartment,Church-Yonge Corridor,Condominium/Strata,"$1,661.95 (CAD)",Underground,6 days,1,1,Balcony,"Security/Concierge, Exercise Centre, Recreation Centre",Central air conditioning,Forced air (Natural gas),Concrete,,Pets not Allowed,"Hospital, Park, Public Transit, Schools",$272.26 (CAD) Monthly,360 Community Management    647-547-1807,,"{'Flat': {'Living room': 'Measurements not available', 'Dining room': 'Measurements not available', 'Kitchen': 'Measurements not available', 'Bedroom': 'Measurements not available'}}"
#202 -1001 QUEEN ST E,"Toronto, Ontario M4M1K2",23808169,E5426350,SingleFamily,850000.00,,Apartment,,2,2,,,,,,,,Underground,,,,,,,,,,,,no,,,,yes,12,no,,Toronto,Ontario,no,yes,no,no,no,no,no,Single Family,Apartment,South Riverdale,Condominium/Strata,$0 (CAD),Underground,13 days,1,2,,,Central air conditioning,Forced air (Electric),"Brick, Concrete",,,,,Tba,,"{'Main level': {'Dining room': 'Measurements not available', 'Living room': 'Measurements not available', 'Kitchen': 'Measurements not available', 'Primary Bedroom': 'Measurements not available', 'Den': 'Measurements not available'}}"
#10 -70 ANNIE CRAIG DR,"Toronto, Ontario M8V0C4",23762410,W5411180,SingleFamily,499999.00,,Apartment,,1,1,,PublicTransit,,,,,,VisitorParking,,,,,,,,,"CarWash,Security/Concierge,PartyRoom,ExerciseCentre",,,no,,,,yes,10,no,,Toronto,Ontario,no,yes,no,no,yes,no,no,Single Family,Apartment,Mimico,Condominium/Strata,$0 (CAD),Visitor Parking,30 days,1,1,Balcony,"Car Wash, Security/Concierge, Party Room, Exercise Centre",Central air conditioning,Forced air (Natural gas),Concrete,Outdoor pool,,Public Transit,$286 (CAD) Monthly,N/A,,"{'Flat': {'Living room': '3.55 m x 5.38 m', 'Dining room': '3.55 m x 5.38 m', 'Kitchen': '3.55 m x 5.38 m', 'Primary Bedroom': '2.81 m x 3.75 m'}}"
#3004 -10 PARK LAWN RD,"Toronto, Ontario M8Y0H9",23796452,W5422425,SingleFamily,699900.00,,Apartment,,2,2,,,,,,,,Underground,,,,,,,,,Storage-Locker,,,no,,,,yes,20,no,,Toronto,Ontario,no,yes,no,no,yes,no,no,Single Family,Apartment,Mimico,Condominium/Strata,"$2,584 (CAD)",Underground,18 days,2,2,Balcony,Storage - Locker,Central air conditioning,Forced air (Natural gas),"Brick, Concrete",,,,$556.51 (CAD) Monthly,Crossbridge Condominium Services,1,"{'Flat': {'Kitchen': '9.6 m x 9.6 m', 'Living room': '10.3 m x 10.3 m', 'Dining room': '4.8 m x 3.25 m', 'Primary Bedroom': '9.6 m x 15.4 m', 'Bedroom 2': '9 m x 8.9 m', 'Laundry room': '5 m x 3 m'}}"
##3102 -251 JARVIS ST,"Toronto, Ontario M5B0C3",23789741,C5420398,SingleFamily,634000.00,,Apartment,,1,2,,,,,,,,Underground,,,,,,,,,Storage-Locker,,,no,,,,yes,27,Video,,Toronto,Ontario,no,yes,no,no,yes,no,no,Single Family,Apartment,Church-Yonge Corridor,Condominium/Strata,"$1,824.10 (CAD)",Underground,20 days,1,1,Balcony,Storage - Locker,Central air conditioning,Forced air (Natural gas),Concrete,,,,$415.68 (CAD) Monthly,First Service Residential: 416-304-0867,,"{'Flat': {'Living room': 'Measurements not available', 'Dining room': 'Measurements not available', 'Kitchen': 'Measurements not available', 'Bedroom': 'Measurements not available', 'Den': 'Measurements not available'}}"
#705 -10 TICHESTER RD,"Toronto, Ontario M5P3M4",23836090,C5435685,SingleFamily,1789000.00,,Apartment,,2,2,,"Park,PublicTransit,Schools",,,,,,"Underground,VisitorParking",,,,,,,,,"Storage-Locker,Security/Concierge,PartyRoom,ExerciseCentre",,,no,,,,yes,40,Video,,Toronto,Ontario,no,yes,no,no,no,no,no,Single Family,Apartment,Forest Hill South,Condominium/Strata,"$4,197.93 (CAD)","Underground, Visitor Parking",3 days,2,2,,"Storage - Locker, Security/Concierge, Party Room, Exercise Centre",Central air conditioning,Forced air (Natural gas),Concrete,Indoor pool,,"Park, Public Transit, Schools","$1,663.11 (CAD) Monthly",Percel Property Management 905-761-6840,2,"{'Flat': {'Foyer': '9.7 m x 7.11 m', 'Living room': '18 m x 16.1 m', 'Dining room': '19.9 m x 16.1 m', 'Kitchen': '10 m x 16.4 m', 'Primary Bedroom': '22 m x 9.1 m', 'Bedroom 2': '16.3 m x 9.4 m'}}"
#806 -11 WINCOTT DR,"Toronto, Ontario M9R2R9",23788437,W5419526,SingleFamily,565000.00,,Apartment,,2,3,PetsnotAllowed,"PublicTransit,Schools",,,,,,"Underground,VisitorParking",,,,,,,,,"Sauna,ExerciseCentre,RecreationCentre",,,no,,,,yes,1,no,,Toronto,Ontario,no,yes,no,no,yes,no,no,Single Family,Apartment,Kingsview Village-The Westway,Condominium/Strata,"$1,539.75 (CAD)","Underground, Visitor Parking",20 days,3,2,Balcony,"Sauna, Exercise Centre, Recreation Centre",Central air conditioning,Forced air (Natural gas),Brick,Indoor pool,Pets not Allowed,"Public Transit, Schools",$865 (CAD) Monthly,Gold View Management,1,"{'Main level': {'Living room': '6.6 m x 3.6 m', 'Dining room': '3.1 m x 2.4 m', 'Kitchen': '3.5 m x 2.6 m'}, 'Second level': {'Primary Bedroom': '5.5 m x 3.3 m', 'Bedroom 2': '4.2 m x 2.6 m', 'Bedroom 3': '3.4 m x 2.7 m'}}"
#420 -1 BELSIZE DR,"Toronto, Ontario M4S0B9",23762166,C5411135,SingleFamily,655000.00,,Apartment,,1,2,,"Park,PublicTransit,Schools",,,,,,"Underground,VisitorParking",,,,,,,,,"Storage-Locker,Security/Concierge,PartyRoom,ExerciseCentre",,,no,,,,yes,2,no,,Toronto,Ontario,no,yes,no,no,yes,no,no,Single Family,Apartment,Mount Pleasant West,Condominium/Strata,"$2,211.86 (CAD)","Underground, Visitor Parking",30 days,1,1,Balcony,"Storage - Locker, Security/Concierge, Party Room, Exercise Centre",Central air conditioning,Forced air (Natural gas),Concrete,,,"Park, Public Transit, Schools",$351.67 (CAD) Monthly,Crossbridge Condominium Services Ltd.,,"{'Main level': {'Living room': 'Measurements not available', 'Kitchen': 'Measurements not available', 'Den': 'Measurements not available', 'Primary Bedroom': 'Measurements not available'}}"
##202 -1 FALAISE RD,"Toronto, Ontario M1E0B9",23814345,E5428325,SingleFamily,489900.00,,Apartment,,1,1,,,,,,,,VisitorParking,,,,,,,,,"PartyRoom,ExerciseCentre",,,no,,,,yes,19,no,,Toronto,Ontario,no,yes,no,no,yes,no,no,Single Family,Apartment,West Hill,Condominium/Strata,$0 (CAD),Visitor Parking,11 days,1,1,Balcony,"Party Room, Exercise Centre",Central air conditioning,Forced air (Natural gas),Brick,,,,$192.94 (CAD) Monthly,Percel Inc. 905-761-6840,,"{'Main level': {'Living room': '3.47 m x 3.72 m', 'Dining room': '3.47 m x 3.72 m', 'Kitchen': '3.47 m x 3.72 m', 'Bedroom': '3.29 m x 2.68 m'}}"
365 BEECROFT Road Unit# 112,"Toronto, Ontario M2N0J3",23819863,40186586,SingleFamily,1228000.00,,Row/Townhouse,,2,3,CommunityCentre,"Airport,Park,Playground,PublicTransit,Schools",3,,,,Furnace,"Underground,VisitorParking",,,0,,,1384.0000,,,"ExerciseCentre,GuestSuite,PartyRoom",Attached,,no,,,,yes,37,no,,Toronto,Ontario,no,yes,no,no,no,no,no,Single Family,Row / Townhouse,,Condominium,,"Underground, Visitor Parking",10 days,3,2,"Park/reserve, Balcony","Exercise Centre, Guest Suite, Party Room",Central air conditioning,"Forced air, (Natural gas)",Brick,,Community Centre,"Airport, Park, Playground, Public Transit, Schools",$563.46 (CAD) Monthly,,1,"{'Main level': {'Eat in kitchen': '4.88 m x 2.29 m', 'Great room': '4.88 m x 3.66 m'}, 'Second level': {'3pc Bathroom': 'Measurements not available', 'Bedroom': '4.24 m x 2.69 m'}, 'Third level': {'Utility room': 'Measurements not available', 'Laundry room': 'Measurements not available', 'Full bathroom': 'Measurements not available', 'Primary Bedroom': '4.98 m x 3.1 m'}, 'Upper Level': {'Sunroom': '5.94 m x 5.64 m'}}"
#16 -13 EATON PARK LANE,"Toronto, Ontario M1W0A5",23828512,E5433217,SingleFamily,638000.00,,Row/Townhouse,,3,2,,"Park,PublicTransit,Schools",,,,,,"Underground,VisitorParking",,,,,,,,,,,,no,,,,yes,26,no,,Toronto,Ontario,no,yes,no,no,yes,no,no,Single Family,Row / Townhouse,L'Amoreaux,Condominium/Strata,"$2,447.40 (CAD)","Underground, Visitor Parking",6 days,2,3,,,Central air conditioning,Forced air (Natural gas),Brick,,,"Park, Public Transit, Schools",$200.90 (CAD) Monthly,Ace Condominium Mgt. 416-628-9768,1,"{'Main level': {'Living room': '6.17 m x 3.25 m', 'Dining room': '6.17 m x 3.25 m', 'Kitchen': '3.38 m x 3.38 m'}, 'Second level': {'Primary Bedroom': '3.49 m x 3.38 m', 'Bedroom 2': '2.75 m x 2.68 m', 'Bathroom': '2.66 m x 2.25 m'}, 'Third level': {'Other': '3.9 m x 4.33 m'}}"
#1001 -125 GEORGE APPLETON WAY,"Toronto, Ontario M3M0A2",23841319,W5437621,SingleFamily,599900.00,,Row/Townhouse,,2,3,,"Hospital,Park,PublicTransit,Schools",,,,,,"Underground,VisitorParking",,,,,,,,,Storage-Locker,,,no,,,,yes,25,Video,,Toronto,Ontario,no,yes,no,no,yes,no,no,Single Family,Row / Townhouse,Downsview-Roding-CFB,Condominium/Strata,"$2,300 (CAD)","Underground, Visitor Parking",2 days,2,2,,Storage - Locker,Central air conditioning,Forced air (Natural gas),Brick,,,"Hospital, Park, Public Transit, Schools",$447 (CAD) Monthly,360 Community Management Ltd,1,"{'Main level': {'Living room': 'Measurements not available', 'Dining room': 'Measurements not available', 'Kitchen': 'Measurements not available', 'Primary Bedroom': 'Measurements not available', 'Bedroom 2': 'Measurements not available', 'Den': 'Measurements not available'}}"
#4805 -100 HARBOUR ST,"Toronto, Ontario M5J0B5",23825874,C5432404,SingleFamily,599000.00,,Apartment,,1,1,CommunityCentre,"Park,PublicTransit",,,,,,,,,,,,,,,"Security/Concierge,PartyRoom,ExerciseCentre",,,no,,,,yes,35,Video,,Toronto,Ontario,no,yes,no,no,yes,no,no,Single Family,Apartment,Waterfront Communities C1,Condominium/Strata,"$2,413.50 (CAD)",,6 days,1,1,Balcony,"Security/Concierge, Party Room, Exercise Centre",Central air conditioning,Forced air (Natural gas),"Brick, Concrete",Indoor pool,Community Centre,"Park, Public Transit",$444.51 (CAD) Monthly,Menkes Property Management Inc.,,"{'Main level': {'Kitchen': '3.99 m x 3.2 m', 'Living room': '2.87 m x 3.2 m', 'Bedroom': '3.2 m x 2.95 m'}}"
#305 -103 THE QUEENSWAY AVE,"Toronto, Ontario M6S5B3",23778510,W5416370,SingleFamily,839900.00,,Apartment,,2,2,,"Park,PublicTransit",,,,,,Underground,,,,,,,,,"Storage-Locker,Security/Concierge,ExerciseCentre",,,no,,,,yes,22,no,,Toronto,Ontario,no,yes,no,no,no,no,no,Single Family,Apartment,High Park-Swansea,Condominium/Strata,"$2,817 (CAD)",Underground,24 days,2,2,Balcony,"Storage - Locker, Security/Concierge, Exercise Centre",Central air conditioning,Forced air (Natural gas),Concrete,"Indoor pool, Outdoor pool",,"Park, Public Transit",$808.66 (CAD) Monthly,Del Property Management,1,"{'Flat': {'Living room': '7.59 m x 3.66 m', 'Dining room': '7.59 m x 3.66 m', 'Kitchen': '7.59 m x 3.66 m', 'Primary Bedroom': '3.72 m x 3.32 m', 'Bedroom 2': '4.33 m x 2.93 m'}}"
#313 -251 JARVIS ST,"Toronto, Ontario M5B2C2",23751227,C5407394,SingleFamily,899900.00,,Apartment,,1,3,,,,,,,,VisitorParking,,,,,,,,,"PartyRoom,ExerciseCentre,RecreationCentre",,,no,,,,yes,9,no,,Toronto,Ontario,no,yes,no,no,no,no,no,Single Family,Apartment,Church-Yonge Corridor,Condominium/Strata,"$4,304.88 (CAD)",Visitor Parking,33 days,3,1,,"Party Room, Exercise Centre, Recreation Centre",Central air conditioning,Forced air (Natural gas),"Concrete, Stone",Outdoor pool,,,$636.70 (CAD) Monthly,First Service Reisidential,,"{'Main level': {'Living room': '5.71 m x 3.68 m', 'Dining room': '5.71 m x 3.68 m', 'Kitchen': '5.71 m x 3.68 m', 'Bedroom': '3.61 m x 2.54 m', 'Bedroom 2': '3.61 m x 2.38 m', 'Bedroom 3': '2.74 m x 2.46 m', 'Media': 'Measurements not available'}}"
#704 -170 SUMACH ST,"Toronto, Ontario M5A0C3",23817161,C5429336,SingleFamily,679000.00,,Apartment,,1,1,,"Hospital,Park,PublicTransit,Schools",,,,,,"Underground,VisitorParking",,,,,,,,,"Storage-Locker,Security/Concierge,ExerciseCentre",,,no,,,,yes,20,Video,,Toronto,Ontario,no,yes,no,no,yes,no,no,Single Family,Apartment,Regent Park,Condominium/Strata,"$2,122.45 (CAD)","Underground, Visitor Parking",11 days,1,1,Balcony,"Storage - Locker, Security/Concierge, Exercise Centre",Central air conditioning,Forced air (Natural gas),Concrete,,,"Hospital, Park, Public Transit, Schools",$514.58 (CAD) Monthly,Crossbridge Condominium Services,1,"{'Flat': {'Living room': '3.01 m x 3.19 m', 'Dining room': '3.01 m x 3.19 m', 'Kitchen': 'Measurements not available', 'Primary Bedroom': '3.76 m x 2.82 m', 'Foyer': '2.71 m x 1.5 m', 'Bathroom': 'Measurements not available'}}"
